"category","airbnb-link","rule","description","fixable","recommended","airbnb-level","airbnb-value"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/no-with"", ""no-with"")","disallow `with` statements","","Off 🙈","Error ⛔","error"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/prefer-promise-reject-errors"", ""prefer-promise-reject-errors"")","require using Error objects as Promise rejection reasons","","Off 🙈","Error ⛔","[""error"",{""allowEmptyReject"":true}]"
"Best Practices","=HYPERLINK(""https://github.com/airbnb/javascript/blob/master/README.md#coercion--numbers"", ""💬"")","=HYPERLINK(""https://eslint.org/docs/rules/radix"", ""radix"")","enforce the consistent use of the radix argument when using `parseInt()`","","Off 🙈","Error ⛔","error"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/require-await"", ""require-await"")","disallow async functions which have no `await` expression","","Off 🙈","Off 🙈","off"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/vars-on-top"", ""vars-on-top"")","require `var` declarations be placed at the top of their containing scope","","Off 🙈","Error ⛔","error"
"Best Practices","=HYPERLINK(""https://github.com/airbnb/javascript/blob/master/README.md#functions--iife"", ""💬"")","=HYPERLINK(""https://eslint.org/docs/rules/wrap-iife"", ""wrap-iife"")","require parentheses around immediate `function` invocations","🔧","Off 🙈","Error ⛔","[""error"",""outside"",{""functionPrototypeMethods"":false}]"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/yoda"", ""yoda"")","require or disallow ""Yoda"" conditions","🔧","Off 🙈","Error ⛔","error"
"Errors",,"=HYPERLINK(""https://eslint.org/docs/rules/for-direction"", ""for-direction"")","enforce ""for"" loop update clause moving the counter in the right direction.","","Off 🙈","Error ⛔","error"
"Errors",,"=HYPERLINK(""https://eslint.org/docs/rules/getter-return"", ""getter-return"")","enforce `return` statements in getters","","Off 🙈","Error ⛔","[""error"",{""allowImplicit"":true}]"
"Errors",,"=HYPERLINK(""https://eslint.org/docs/rules/no-await-in-loop"", ""no-await-in-loop"")","disallow `await` inside of loops","","Off 🙈","Error ⛔","error"
